Running convertNumbers.py with all test cases...

========================================
Running with: TC1.txt
========================================
Decimal | Binary | Hexadecimal
     74 |              1001010 |           4A
     56 |               111000 |           38
     95 |              1011111 |           5F
     92 |              1011100 |           5C
     89 |              1011001 |           59
     84 |              1010100 |           54
     78 |              1001110 |           4E
      8 |                 1000 |            8
     40 |               101000 |           28
     84 |              1010100 |           54
     16 |                10000 |           10
      3 |                   11 |            3
     29 |                11101 |           1D
     90 |              1011010 |           5A
     77 |              1001101 |           4D
     41 |               101001 |           29
     65 |              1000001 |           41
     54 |               110110 |           36
     88 |              1011000 |           58
     49 |               110001 |           31
     91 |              1011011 |           5B
     55 |               110111 |           37
     34 |               100010 |           22
     45 |               101101 |           2D
     61 |               111101 |           3D
     39 |               100111 |           27
     60 |               111100 |           3C
     76 |              1001100 |           4C
      8 |                 1000 |            8
     21 |                10101 |           15
      4 |                  100 |            4
     91 |              1011011 |           5B
     82 |              1010010 |           52
     23 |                10111 |           17
     10 |                 1010 |            A
     15 |                 1111 |            F
     86 |              1010110 |           56
     17 |                10001 |           11
     83 |              1010011 |           53
     84 |              1010100 |           54
     99 |              1100011 |           63
     85 |              1010101 |           55
     62 |               111110 |           3E
     68 |              1000100 |           44
      6 |                  110 |            6
     96 |              1100000 |           60
      5 |                  101 |            5
     84 |              1010100 |           54
      5 |                  101 |            5
      5 |                  101 |            5
     33 |               100001 |           21
     40 |               101000 |           28
     42 |               101010 |           2A
      6 |                  110 |            6
     14 |                 1110 |            E
      1 |                    1 |            1
     69 |              1000101 |           45
     29 |                11101 |           1D
     43 |               101011 |           2B
     58 |               111010 |           3A
     12 |                 1100 |            C
      0 |                    0 |            0
     49 |               110001 |           31
     16 |                10000 |           10
     37 |               100101 |           25
     49 |               110001 |           31
     52 |               110100 |           34
     62 |               111110 |           3E
     50 |               110010 |           32
     53 |               110101 |           35
     92 |              1011100 |           5C
     39 |               100111 |           27


Summary:
Total numbers processed: 200
Invalid entries skipped: 0
Execution time: 0.0000 seconds

========================================
Running with: TC2.txt
========================================
Decimal | Binary | Hexadecimal
----------------------------------------
7116776 | 11011001001011111101000 |       6C97E8
1666340 | 110010110110100100100 |       196D24
8886983 | 100001111001101011000111 |       879AC7
 839365 | 11001100111011000101 |        CCEC5
 924280 | 11100001101001111000 |        E1A78
1026310 | 11111010100100000110 |        FA906
1615293 | 110001010010110111101 |       18A5BD
1063875 | 100000011101111000011 |       103BC3
 679035 | 10100101110001111011 |        A5C7B
5201970 | 10011110110000000110010 |       4F6032
 593979 | 10010001000000111011 |        9103B
 801371 | 11000011101001011011 |        C3A5B
3796878 | 1110011110111110001110 |       39EF8E
7489201 | 11100100100011010110001 |       7246B1
9740020 | 100101001001111011110100 |       949EF4
9128737 | 100010110100101100100001 |       8B4B21
5473463 | 10100111000010010110111 |       5384B7
8701957 | 100001001100100000000101 |       84C805
8238050 | 11111011011001111100010 |       7DB3E2
8679038 | 100001000110111001111110 |       846E7E
 385912 |  1011110001101111000 |        5E378
5867340 | 10110011000011101001100 |       59874C
4894542 | 10010101010111101001110 |       4AAF4E
8999451 | 100010010101001000011011 |       89521B
4392535 | 10000110000011001010111 |       430657
2078131 | 111111011010110110011 |       1FB5B3
3070124 | 1011101101100010101100 |       2ED8AC
7451998 | 11100011011010101011110 |       71B55E
5635510 | 10101011111110110110110 |       55FDB6
1233932 | 100101101010000001100 |       12D40C
6089867 | 10111001110110010001011 |       5CEC8B
1792316 | 110110101100100111100 |       1B593C
6298637 | 11000000001110000001101 |       601C0D
2408038 | 1001001011111001100110 |       24BE66
8510100 | 100000011101101010010100 |       81DA94
 991581 | 11110010000101011101 |        F215D
6455739 | 11000101000000110111011 |       6281BB
7829175 | 11101110111011010110111 |       7776B7
6328931 | 11000001001001001100011 |       609263
9982305 | 100110000101000101100001 |       985161
2292022 | 1000101111100100110110 |       22F936
1070496 | 100000101010110100000 |       1055A0
8518360 | 100000011111101011011000 |       81FAD8
6378470 | 11000010101001111100110 |       6153E6
7756258 | 11101100101100111100010 |       7659E2
7111767 | 11011001000010001010111 |       6C8457
2685897 | 1010001111101111001001 |       28FBC9
 617946 | 10010110110111011010 |        96DDA
 246280 |   111100001000001000 |        3C208
6075442 | 10111001011010000110010 |       5CB432
 991323 | 11110010000001011011 |        F205B
6754202 | 11001110000111110011010 |       670F9A
3103178 | 1011110101100111001010 |       2F59CA
3228842 | 1100010100010010101010 |       3144AA
6786623 | 11001111000111000111111 |       678E3F
5329085 | 10100010101000010111101 |       5150BD
2334647 | 1000111001111110110111 |       239FB7
7253396 | 11011101010110110010100 |       6EAD94
6516953 | 11000110111000011011001 |       6370D9
5972725 | 10110110010001011110101 |       5B22F5
5828037 | 10110001110110111000101 |       58EDC5
6642265 | 11001010101101001011001 |       655A59
2559699 | 1001110000111011010011 |       270ED3
6597631 | 11001001010101111111111 |       64ABFF
5826202 | 10110001110011010011010 |       58E69A
4642335 | 10001101101011000011111 |       46D61F
1862900 | 111000110110011110100 |       1C6CF4
6039635 | 10111000010100001010011 |       5C2853
3358744 | 1100110100000000011000 |       334018
4965249 | 10010111100001110000001 |       4BC381
6621475 | 11001010000100100100011 |       650923
3336153 | 1100101110011111011001 |       32E7D9
1044743 | 11111111000100000111 |        FF107
6201477 | 10111101010000010000101 |       5EA085
6297100 | 11000000001011000001100 |       60160C
 885678 | 11011000001110101110 |        D83AE
8546891 | 100000100110101001001011 |       826A4B
6683923 | 11001011111110100010011 |       65FD13
7064472 | 11010111100101110011000 |       6BCB98
3430021 | 1101000101011010000101 |       345685
9764122 | 100101001111110100011010 |       94FD1A
9958605 | 100101111111010011001101 |       97F4CD
1006022 | 11110101100111000110 |        F59C6
5276496 | 10100001000001101010000 |       508350
8876232 | 100001110111000011001000 |       8770C8
3364648 | 1100110101011100101000 |       335728
3539979 | 1101100000010000001011 |       36040B
3003857 | 1011011101010111010001 |       2DD5D1
4481634 | 10001000110001001100010 |       446262
9035781 | 100010011110000000000101 |       89E005
3767021 | 1110010111101011101101 |       397AED
4993901 | 10011000011001101101101 |       4C336D
8698377 | 100001001011101000001001 |       84BA09
4626501 | 10001101001100001000101 |       469845
1755352 | 110101100100011011000 |       1AC8D8
2755340 | 1010100000101100001100 |       2A0B0C
5150616 | 10011101001011110011000 |       4E9798
9345169 | 100011101001100010010001 |       8E9891
 848948 | 11001111010000110100 |        CF434
2708748 | 1010010101010100001100 |       29550C
8372451 | 11111111100000011100011 |       7FC0E3
3523015 | 1101011100000111000111 |       35C1C7
2624283 | 1010000000101100011011 |       280B1B
8795348 | 100001100011010011010100 |       8634D4
2318100 | 1000110101111100010100 |       235F14
4750861 | 10010000111111000001101 |       487E0D
3770597 | 1110011000100011100101 |       3988E5
1053352 | 100000001001010101000 |       1012A8
 833307 | 11001011011100011011 |        CB71B
4632526 | 10001101010111111001110 |       46AFCE
2212917 | 1000011100010000110101 |       21C435
5053189 | 10011010001101100000101 |       4D1B05
 412218 |  1100100101000111010 |        64A3A
4901564 | 10010101100101010111100 |       4ACABC
5094606 | 10011011011110011001110 |       4DBCCE
8070285 | 11110110010010010001101 |       7B248D
6847905 | 11010000111110110100001 |       687DA1
4311824 | 10000011100101100010000 |       41CB10
3009421 | 1011011110101110001101 |       2DEB8D
1629105 | 110001101101110110001 |       18DBB1
8431899 | 100000001010100100011011 |       80A91B
7582456 | 11100111011001011111000 |       73B2F8
7332147 | 11011111110000100110011 |       6FE133
 314183 |  1001100101101000111 |        4CB47
7632568 | 11101000111011010111000 |       7476B8
8161327 | 11111001000100000101111 |       7C882F
6961087 | 11010100011011110111111 |       6A37BF
6898282 | 11010010100001001101010 |       69426A
9749303 | 100101001100001100110111 |       94C337
4427419 | 10000111000111010011011 |       438E9B
4368829 | 10000101010100110111101 |       42A9BD
6439318 | 11000100100000110010110 |       624196
6473603 | 11000101100011110000011 |       62C783
6446249 | 11000100101110010101001 |       625CA9
9818836 | 100101011101001011010100 |       95D2D4
9438069 | 100100000000001101110101 |       900375
2809499 | 1010101101111010011011 |       2ADE9B
3460304 | 1101001100110011010000 |       34CCD0
8430904 | 100000001010010100111000 |       80A538
9774785 | 100101010010011011000001 |       9526C1
9560603 | 100100011110001000011011 |       91E21B
3440732 | 1101001000000001011100 |       34805C
7053263 | 11010111001111111001111 |       6B9FCF
 287398 |  1000110001010100110 |        462A6
4043644 | 1111011011001101111100 |       3DB37C
2943820 | 1011001110101101001100 |       2CEB4C
9030962 | 100010011100110100110010 |       89CD32
7537540 | 11100110000001110000100 |       730384
7203657 | 11011011110101101001001 |       6DEB49
5639400 | 10101100000110011101000 |       560CE8
9448142 | 100100000010101011001110 |       902ACE
9954392 | 100101111110010001011000 |       97E458
2856859 | 1010111001011110011011 |       2B979B
1332118 | 101000101001110010110 |       145396
6984725 | 11010101001010000010101 |       6A9415
1925762 | 111010110001010000010 |       1D6282
2138171 | 1000001010000000111011 |       20A03B
 347447 |  1010100110100110111 |        54D37
8839390 | 100001101110000011011110 |       86E0DE
3951652 | 1111000100110000100100 |       3C4C24
3755102 | 1110010100110001011110 |       394C5E
6867687 | 11010001100101011100111 |       68CAE7
4383175 | 10000101110000111000111 |       42E1C7
7125508 | 11011001011101000000100 |       6CBA04
7799732 | 11101110000001110110100 |       7703B4
8784156 | 100001100000100100011100 |       86091C
1372809 | 101001111001010001001 |       14F289
1327984 | 101000100001101110000 |       144370
9205087 | 100011000111010101011111 |       8C755F
6524241 | 11000111000110101010001 |       638D51
9316072 | 100011100010011011101000 |       8E26E8
 127744 |    11111001100000000 |        1F300
8388820 | 100000000000000011010100 |       8000D4
6883557 | 11010010000100011100101 |       6908E5
2291239 | 1000101111011000100111 |       22F627
3101270 | 1011110101001001010110 |       2F5256
1382825 | 101010001100110101001 |       1519A9
9873376 | 100101101010011111100000 |       96A7E0
6873500 | 11010001110000110011100 |       68E19C
8185634 | 11111001110011100100010 |       7CE722
2464786 | 1001011001110000010010 |       259C12
8387154 | 11111111111101001010010 |       7FFA52
5581444 | 10101010010101010000100 |       552A84
8097911 | 11110111001000001110111 |       7B9077
8882527 | 100001111000100101011111 |       87895F
8941444 | 100010000110111110000100 |       886F84
4942703 | 10010110110101101101111 |       4B6B6F
 101144 |    11000101100011000 |        18B18
7471180 | 11100100000000001001100 |       72004C
1932131 | 111010111101101100011 |       1D7B63
8052752 | 11110101110000000010000 |       7AE010
6359493 | 11000010000100111000101 |       6109C5
1967646 | 111100000011000011110 |       1E061E
6575052 | 11001000101001111001100 |       6453CC
2323342 | 1000110111001110001110 |       23738E
6735760 | 11001101100011110010000 |       66C790
8895858 | 100001111011110101110010 |       87BD72
4238091 | 10000001010101100001011 |       40AB0B
7093069 | 11011000011101101001101 |       6C3B4D
     39 |               100111 |           27


Summary:
Total numbers processed: 200
Invalid entries skipped: 0
Execution time: 0.0010 seconds

========================================
Running with: TC3.txt
========================================
Decimal | Binary | Hexadecimal
----------------------------------------
    -39 |           1111011001 |   FFFFFFFFD9
    -36 |           1111011100 |   FFFFFFFFDC
      8 |                 1000 |            8
     34 |               100010 |           22
     17 |                10001 |           11
     49 |               110001 |           31
      5 |                  101 |            5
     39 |               100111 |           27
      0 |                    0 |            0
     33 |               100001 |           21
     12 |                 1100 |            C
     -6 |           1111111010 |   FFFFFFFFFA
     27 |                11011 |           1B
     -4 |           1111111100 |   FFFFFFFFFC
    -38 |           1111011010 |   FFFFFFFFDA
     26 |                11010 |           1A
     49 |               110001 |           31
     29 |                11101 |           1D
     42 |               101010 |           2A
    -16 |           1111110000 |   FFFFFFFFF0
    -28 |           1111100100 |   FFFFFFFFE4
     34 |               100010 |           22
     20 |                10100 |           14
      0 |                    0 |            0
     25 |                11001 |           19
     45 |               101101 |           2D
      3 |                   11 |            3
    -46 |           1111010010 |   FFFFFFFFD2
    -46 |           1111010010 |   FFFFFFFFD2
     29 |                11101 |           1D
     33 |               100001 |           21
     29 |                11101 |           1D
     26 |                11010 |           1A
     -5 |           1111111011 |   FFFFFFFFFB
    -36 |           1111011100 |   FFFFFFFFDC
     12 |                 1100 |            C
     45 |               101101 |           2D
    -50 |           1111001110 |   FFFFFFFFCE
      0 |                    0 |            0
     -6 |           1111111010 |   FFFFFFFFFA
    -39 |           1111011001 |   FFFFFFFFD9
     35 |               100011 |           23
     26 |                11010 |           1A
    -35 |           1111011101 |   FFFFFFFFDD
    -42 |           1111010110 |   FFFFFFFFD6
     14 |                 1110 |            E
     -3 |           1111111101 |   FFFFFFFFFD
     22 |                10110 |           16
    -47 |           1111010001 |   FFFFFFFFD1
     12 |                 1100 |            C
    -17 |           1111101111 |   FFFFFFFFEF
    -31 |           1111100001 |   FFFFFFFFE1
    -25 |           1111100111 |   FFFFFFFFE7
    -35 |           1111011101 |   FFFFFFFFDD
    -18 |           1111101110 |   FFFFFFFFEE
     14 |                 1110 |            E
     37 |               100101 |           25
     -8 |           1111111000 |   FFFFFFFFF8
    -41 |           1111010111 |   FFFFFFFFD7
    -50 |           1111001110 |   FFFFFFFFCE
     -9 |           1111110111 |   FFFFFFFFF7
      2 |                   10 |            2
     12 |                 1100 |            C
    -39 |           1111011001 |   FFFFFFFFD9
    -17 |           1111101111 |   FFFFFFFFEF
      0 |                    0 |            0
     27 |                11011 |           1B
     28 |                11100 |           1C
     45 |               101101 |           2D
    -44 |           1111010100 |   FFFFFFFFD4
     28 |                11100 |           1C
     35 |               100011 |           23
    -33 |           1111011111 |   FFFFFFFFDF
     43 |               101011 |           2B
     -4 |           1111111100 |   FFFFFFFFFC
     23 |                10111 |           17
    -49 |           1111001111 |   FFFFFFFFCF
     49 |               110001 |           31
     -7 |           1111111001 |   FFFFFFFFF9
    -38 |           1111011010 |   FFFFFFFFDA
    -45 |           1111010011 |   FFFFFFFFD3
      5 |                  101 |            5
    -21 |           1111101011 |   FFFFFFFFEB
     26 |                11010 |           1A
     -2 |           1111111110 |   FFFFFFFFFE
    -24 |           1111101000 |   FFFFFFFFE8
      6 |                  110 |            6
    -45 |           1111010011 |   FFFFFFFFD3
     -4 |           1111111100 |   FFFFFFFFFC
     15 |                 1111 |            F
      0 |                    0 |            0
    -17 |           1111101111 |   FFFFFFFFEF
    -35 |           1111011101 |   FFFFFFFFDD
     43 |               101011 |           2B
     45 |               101101 |           2D
    -35 |           1111011101 |   FFFFFFFFDD
     -8 |           1111111000 |   FFFFFFFFF8
     28 |                11100 |           1C
     47 |               101111 |           2F
     34 |               100010 |           22
    -24 |           1111101000 |   FFFFFFFFE8
    -42 |           1111010110 |   FFFFFFFFD6
    -13 |           1111110011 |   FFFFFFFFF3
     14 |                 1110 |            E
    -45 |           1111010011 |   FFFFFFFFD3
    -35 |           1111011101 |   FFFFFFFFDD
     27 |                11011 |           1B
    -12 |           1111110100 |   FFFFFFFFF4
    -19 |           1111101101 |   FFFFFFFFED
    -20 |           1111101100 |   FFFFFFFFEC
    -14 |           1111110010 |   FFFFFFFFF2
     20 |                10100 |           14
     30 |                11110 |           1E
     12 |                 1100 |            C
    -36 |           1111011100 |   FFFFFFFFDC
    -47 |           1111010001 |   FFFFFFFFD1
    -27 |           1111100101 |   FFFFFFFFE5
     -3 |           1111111101 |   FFFFFFFFFD
      6 |                  110 |            6
     36 |               100100 |           24
      9 |                 1001 |            9
    -16 |           1111110000 |   FFFFFFFFF0
     36 |               100100 |           24
    -27 |           1111100101 |   FFFFFFFFE5
      7 |                  111 |            7
     -6 |           1111111010 |   FFFFFFFFFA
     -5 |           1111111011 |   FFFFFFFFFB
      5 |                  101 |            5
     47 |               101111 |           2F
     23 |                10111 |           17
    -48 |           1111010000 |   FFFFFFFFD0
    -24 |           1111101000 |   FFFFFFFFE8
     40 |               101000 |           28
     -4 |           1111111100 |   FFFFFFFFFC
    -18 |           1111101110 |   FFFFFFFFEE
    -19 |           1111101101 |   FFFFFFFFED
     14 |                 1110 |            E
     15 |                 1111 |            F
      1 |                    1 |            1
     24 |                11000 |           18
     -9 |           1111110111 |   FFFFFFFFF7
    -50 |           1111001110 |   FFFFFFFFCE
     18 |                10010 |           12
     15 |                 1111 |            F
     30 |                11110 |           1E
     44 |               101100 |           2C
      9 |                 1001 |            9
     19 |                10011 |           13
     33 |               100001 |           21
     41 |               101001 |           29
    -24 |           1111101000 |   FFFFFFFFE8
     43 |               101011 |           2B
     48 |               110000 |           30
    -23 |           1111101001 |   FFFFFFFFE9
      7 |                  111 |            7
     28 |                11100 |           1C
      8 |                 1000 |            8
     -2 |           1111111110 |   FFFFFFFFFE
     37 |               100101 |           25
     42 |               101010 |           2A
    -17 |           1111101111 |   FFFFFFFFEF
     -6 |           1111111010 |   FFFFFFFFFA
     36 |               100100 |           24
     22 |                10110 |           16
     27 |                11011 |           1B
     31 |                11111 |           1F
    -47 |           1111010001 |   FFFFFFFFD1
    -43 |           1111010101 |   FFFFFFFFD5
      0 |                    0 |            0
     27 |                11011 |           1B
     30 |                11110 |           1E
     12 |                 1100 |            C
    -15 |           1111110001 |   FFFFFFFFF1
    -19 |           1111101101 |   FFFFFFFFED
    -42 |           1111010110 |   FFFFFFFFD6
    -37 |           1111011011 |   FFFFFFFFDB
     31 |                11111 |           1F
    -10 |           1111110110 |   FFFFFFFFF6
     18 |                10010 |           12
     33 |               100001 |           21
    -15 |           1111110001 |   FFFFFFFFF1
     17 |                10001 |           11
     25 |                11001 |           19
    -25 |           1111100111 |   FFFFFFFFE7
     -5 |           1111111011 |   FFFFFFFFFB
     33 |               100001 |           21
    -13 |           1111110011 |   FFFFFFFFF3
     33 |               100001 |           21
    -10 |           1111110110 |   FFFFFFFFF6
     47 |               101111 |           2F
     47 |               101111 |           2F
    -13 |           1111110011 |   FFFFFFFFF3
    -32 |           1111100000 |   FFFFFFFFE0
      1 |                    1 |            1
      1 |                    1 |            1
    -25 |           1111100111 |   FFFFFFFFE7
    -33 |           1111011111 |   FFFFFFFFDF
     16 |                10000 |           10
     17 |                10001 |           11
      4 |                  100 |            4


Summary:
Total numbers processed: 200
Invalid entries skipped: 0
Execution time: 0.0000 seconds

========================================
Running with: TC4.txt
========================================
Error: Line 8 contains invalid data: 'ABC' (skipped)
Error: Line 21 contains invalid data: 'ERR' (skipped)
Error: Line 41 contains invalid data: 'VAL' (skipped)
Decimal | Binary | Hexadecimal
----------------------------------------
    -39 |           1111011001 |   FFFFFFFFD9
    -36 |           1111011100 |   FFFFFFFFDC
      8 |                 1000 |            8
     34 |               100010 |           22
     17 |                10001 |           11
     49 |               110001 |           31
      5 |                  101 |            5
    ABC |                   NA |           NA
      0 |                    0 |            0
     33 |               100001 |           21
     12 |                 1100 |            C
     -6 |           1111111010 |   FFFFFFFFFA
     27 |                11011 |           1B
     -4 |           1111111100 |   FFFFFFFFFC
    -38 |           1111011010 |   FFFFFFFFDA
     26 |                11010 |           1A
     49 |               110001 |           31
     29 |                11101 |           1D
     42 |               101010 |           2A
    -16 |           1111110000 |   FFFFFFFFF0
    ERR |                   NA |           NA
     34 |               100010 |           22
     20 |                10100 |           14
      0 |                    0 |            0
     25 |                11001 |           19
     45 |               101101 |           2D
      3 |                   11 |            3
    -46 |           1111010010 |   FFFFFFFFD2
    -46 |           1111010010 |   FFFFFFFFD2
     29 |                11101 |           1D
     33 |               100001 |           21
     29 |                11101 |           1D
     26 |                11010 |           1A
     -5 |           1111111011 |   FFFFFFFFFB
    -36 |           1111011100 |   FFFFFFFFDC
     12 |                 1100 |            C
     45 |               101101 |           2D
    -50 |           1111001110 |   FFFFFFFFCE
      0 |                    0 |            0
     -6 |           1111111010 |   FFFFFFFFFA
    VAL |                   NA |           NA


Summary:
Total numbers processed: 41
Invalid entries skipped: 3
Execution time: 0.0010 seconds

All tests completed
Press any key to continue . . . 
